,min support,min confidence,rule nums,running time
4,0.04789473684210526,0.34545454545454546,3,0.013022899627685547
5,0.04789473684210526,0.38181818181818183,3,0.012728214263916016
6,0.04789473684210526,0.4181818181818182,1,0.010457515716552734
7,0.04789473684210526,0.45454545454545453,0,0.009029388427734375
8,0.04789473684210526,0.4909090909090909,0,0.009403228759765625
9,0.04789473684210526,0.5272727272727273,0,0.009068965911865234
10,0.04789473684210526,0.5636363636363637,0,0.009284257888793945
11,0.04789473684210526,0.6,0,0.009430885314941406
0,0.05310526315789474,0.2,6,0.013732671737670898
1,0.05310526315789474,0.2363636363636364,4,0.011057615280151367
2,0.05310526315789474,0.2727272727272727,4,0.011498689651489258
3,0.05310526315789474,0.3090909090909091,2,0.009085416793823242
4,0.05310526315789474,0.34545454545454546,2,0.009203672409057617
5,0.05310526315789474,0.38181818181818183,2,0.009621143341064453
6,0.05310526315789474,0.4181818181818182,0,0.007048606872558594
7,0.05310526315789474,0.45454545454545453,0,0.0072078704833984375
8,0.05310526315789474,0.4909090909090909,0,0.006912946701049805
9,0.05310526315789474,0.5272727272727273,0,0.0071680545806884766
10,0.05310526315789474,0.5636363636363637,0,0.006963491439819336
11,0.05310526315789474,0.6,0,0.006791591644287109
0,0.05831578947368421,0.2,2,0.00472259521484375
1,0.05831578947368421,0.2363636363636364,2,0.004584550857543945
2,0.05831578947368421,0.2727272727272727,2,0.004634857177734375
3,0.05831578947368421,0.3090909090909091,1,0.0033936500549316406
4,0.05831578947368421,0.34545454545454546,1,0.0035238265991210938
5,0.05831578947368421,0.38181818181818183,1,0.003503084182739258
6,0.05831578947368421,0.4181818181818182,0,0.002412557601928711
7,0.05831578947368421,0.45454545454545453,0,0.002390623092651367
8,0.05831578947368421,0.4909090909090909,0,0.002393484115600586
9,0.05831578947368421,0.5272727272727273,0,0.002370595932006836
10,0.05831578947368421,0.5636363636363637,0,0.0023741722106933594
11,0.05831578947368421,0.6,0,0.0023822784423828125
0,0.06352631578947368,0.2,2,0.0047454833984375
1,0.06352631578947368,0.2363636363636364,2,0.004765987396240234
2,0.06352631578947368,0.2727272727272727,2,0.004750490188598633
3,0.06352631578947368,0.3090909090909091,1,0.0034203529357910156
4,0.06352631578947368,0.34545454545454546,1,0.0034410953521728516
5,0.06352631578947368,0.38181818181818183,1,0.0034568309783935547
6,0.06352631578947368,0.4181818181818182,0,0.0023870468139648438
7,0.06352631578947368,0.45454545454545453,0,0.0020945072174072266
8,0.06352631578947368,0.4909090909090909,0,0.002321958541870117
9,0.06352631578947368,0.5272727272727273,0,0.002435445785522461
10,0.06352631578947368,0.5636363636363637,0,0.0024709701538085938
11,0.06352631578947368,0.6,0,0.0023679733276367188
0,0.06873684210526315,0.2,2,0.004780292510986328
