,min support,min confidence,running time
5,0.06873684210526315,0.38181818181818183,0.003570079803466797
6,0.06873684210526315,0.4181818181818182,0.0023670196533203125
7,0.06873684210526315,0.45454545454545453,0.0023806095123291016
8,0.06873684210526315,0.4909090909090909,0.0024127960205078125
9,0.06873684210526315,0.5272727272727273,0.002205371856689453
10,0.06873684210526315,0.5636363636363637,0.0023834705352783203
11,0.06873684210526315,0.6,0.0023937225341796875
0,0.07394736842105264,0.2,0.004971504211425781
1,0.07394736842105264,0.2363636363636364,0.004797935485839844
2,0.07394736842105264,0.2727272727272727,0.0049762725830078125
3,0.07394736842105264,0.3090909090909091,0.0039234161376953125
4,0.07394736842105264,0.34545454545454546,0.004102468490600586
5,0.07394736842105264,0.38181818181818183,0.0038344860076904297
6,0.07394736842105264,0.4181818181818182,0.0025587081909179688
7,0.07394736842105264,0.45454545454545453,0.0025739669799804688
8,0.07394736842105264,0.4909090909090909,0.002768278121948242
9,0.07394736842105264,0.5272727272727273,0.0027642250061035156
10,0.07394736842105264,0.5636363636363637,0.002622365951538086
11,0.07394736842105264,0.6,0.0026569366455078125
0,0.07915789473684211,0.2,3.0994415283203125e-06
1,0.07915789473684211,0.2363636363636364,2.86102294921875e-06
2,0.07915789473684211,0.2727272727272727,2.86102294921875e-06
3,0.07915789473684211,0.3090909090909091,2.6226043701171875e-06
4,0.07915789473684211,0.34545454545454546,3.337860107421875e-06
5,0.07915789473684211,0.38181818181818183,2.6226043701171875e-06
6,0.07915789473684211,0.4181818181818182,2.384185791015625e-06
7,0.07915789473684211,0.45454545454545453,2.6226043701171875e-06
8,0.07915789473684211,0.4909090909090909,2.86102294921875e-06
9,0.07915789473684211,0.5272727272727273,2.86102294921875e-06
10,0.07915789473684211,0.5636363636363637,2.86102294921875e-06
11,0.07915789473684211,0.6,3.0994415283203125e-06
0,0.08436842105263158,0.2,4.0531158447265625e-06
1,0.08436842105263158,0.2363636363636364,3.337860107421875e-06
2,0.08436842105263158,0.2727272727272727,3.5762786865234375e-06
3,0.08436842105263158,0.3090909090909091,3.0994415283203125e-06
4,0.08436842105263158,0.34545454545454546,3.0994415283203125e-06
5,0.08436842105263158,0.38181818181818183,3.337860107421875e-06
6,0.08436842105263158,0.4181818181818182,3.337860107421875e-06
7,0.08436842105263158,0.45454545454545453,3.0994415283203125e-06
8,0.08436842105263158,0.4909090909090909,3.0994415283203125e-06
9,0.08436842105263158,0.5272727272727273,3.0994415283203125e-06
10,0.08436842105263158,0.5636363636363637,3.0994415283203125e-06
11,0.08436842105263158,0.6,3.0994415283203125e-06
0,0.08957894736842105,0.2,3.5762786865234375e-06
1,0.08957894736842105,0.2363636363636364,3.337860107421875e-06
2,0.08957894736842105,0.2727272727272727,3.0994415283203125e-06
3,0.08957894736842105,0.3090909090909091,3.337860107421875e-06
4,0.08957894736842105,0.34545454545454546,3.0994415283203125e-06
5,0.08957894736842105,0.38181818181818183,3.337860107421875e-06
6,0.08957894736842105,0.4181818181818182,3.0994415283203125e-06
7,0.08957894736842105,0.45454545454545453,3.0994415283203125e-06
8,0.08957894736842105,0.4909090909090909,2.86102294921875e-06
9,0.08957894736842105,0.5272727272727273,3.0994415283203125e-06
10,0.08957894736842105,0.5636363636363637,3.0994415283203125e-06
11,0.08957894736842105,0.6,3.0994415283203125e-06
0,0.09478947368421052,0.2,1.239776611328125e-05
1,0.09478947368421052,0.2363636363636364,3.5762786865234375e-06
2,0.09478947368421052,0.2727272727272727,3.0994415283203125e-06
3,0.09478947368421052,0.3090909090909091,3.337860107421875e-06
4,0.09478947368421052,0.34545454545454546,2.86102294921875e-06
5,0.09478947368421052,0.38181818181818183,3.337860107421875e-06
6,0.09478947368421052,0.4181818181818182,3.0994415283203125e-06
7,0.09478947368421052,0.45454545454545453,3.337860107421875e-06
8,0.09478947368421052,0.4909090909090909,3.0994415283203125e-06
9,0.09478947368421052,0.5272727272727273,3.337860107421875e-06
10,0.09478947368421052,0.5636363636363637,3.0994415283203125e-06
11,0.09478947368421052,0.6,3.0994415283203125e-06
0,0.1,0.2,4.291534423828125e-06
1,0.1,0.2363636363636364,3.337860107421875e-06
2,0.1,0.2727272727272727,3.337860107421875e-06
3,0.1,0.3090909090909091,3.337860107421875e-06
4,0.1,0.34545454545454546,3.0994415283203125e-06
5,0.1,0.38181818181818183,3.337860107421875e-06
6,0.1,0.4181818181818182,3.0994415283203125e-06
7,0.1,0.45454545454545453,2.86102294921875e-06
8,0.1,0.4909090909090909,3.0994415283203125e-06
9,0.1,0.5272727272727273,3.337860107421875e-06
10,0.1,0.5636363636363637,3.337860107421875e-06
11,0.1,0.6,3.0994415283203125e-06
